importance,author,title,table_name,contrast,keywords,Name,Left/Right,Broadman Area,X(R),Y(A),Z(S),z-score,subjects,cluster size,p value,t,NV,index_col,MNIX,MNIY,MNIZ,TALX,TALY,TALZ,significance
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,anterior cingulate cortex/cognitive division,l,,-8,22,24,,23,,,3.76,,1729,-8.0,22.0,24.0,-8.637,17.587,26.74,0.0018610777573024317
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,anterior cingulate cortex/affective division,r,,10,38,20,,23,,,4.92,,1730,10.0,38.0,20.0,8.281,32.794,24.542,0.00030242933493330126
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,anterior cingulate cortex/affective division,l,,-8,32,20,,23,,,3.66,,1731,-8.0,32.0,20.0,-8.579,27.273,23.906,0.0021945424341835093
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,dorsolateral prefrontal cortex,r,,40,26,26,,23,,,4.04,,1732,40.0,26.0,26.0,36.274,20.888,29.329,0.0011806116297051713
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,dorsolateral prefrontal cortex,l,,-46,30,30,,23,,,5.47,,1733,-46.0,30.0,30.0,-44.214,24.915,32.331,0.00013652819122076298
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,premotor cortex,r,,52,8,26,,23,,,7.41,,1734,52.0,8.0,26.0,47.45,3.897,28.099,1.144228648394038e-05
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,premotor cortex,l,,-56,2,30,,23,,,7.38,,1735,-56.0,2.0,30.0,-53.652,-1.329,30.122,1.18475728156502e-05
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,pre-supplementary motor area,r,,8,0,56,,23,,,4.19,,1736,8.0,0.0,56.0,6.04,-5.512,53.945,0.0009289783243329873
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,pre-supplementary motor area,l,,-10,2,54,,23,,,5.56,,1737,-10.0,2.0,54.0,-10.782,-3.37,52.117,0.00012035983168567059
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,posterior parietal cortex,r,,46,-30,42,,23,,,7.07,,1738,46.0,-30.0,42.0,41.61,-32.93,39.527,1.7078834083874655e-05
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,posterior parietal cortex,l,,-46,-36,46,,23,,,8.93,,1739,-46.0,-36.0,46.0,-44.52,-38.26,41.715,2.2193791117563746e-06
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,primary visual cortex,r,,18,-74,8,,23,,,5.15,,1740,18.0,-74.0,8.0,15.528,-71.622,5.442,0.00021572300114807534
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,primary visual cortex,l,,-10,-90,0,,23,,,5.22,,1741,-10.0,-90.0,0.0,-10.66,-85.893,-3.224,0.0001949370888882382
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,lateral extrastriate cortex,r,,28,-66,44,,23,,,6.38,,1742,28.0,-66.0,44.0,24.649,-66.784,38.428,4.017955227082547e-05
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,lateral extrastriate cortex,l,,-16,68,54,,23,,,6.61,,1743,-16.0,68.0,54.0,-16.205,58.682,57.018,3.0012064293077904e-05
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,precuneus,r,,10,-70,46,,23,,,6.61,,1744,10.0,-70.0,46.0,7.78,-70.571,39.735,3.0012064293077904e-05
+,Cruz et al,Alterations in the functional neural circuitry supporting flexible choice behavior in autism spectrum disorders,Table 3 - Summary of regions in the four-choice reversal learning task showing significant activation at reversal compared to expected positive reinforcement for ASD and controls,-,fMRI; working memory; decision making; MNI; two and four choice reversal learning task;reversal learning task;visual identical shapes,precuneus,l,,-10,-68,52,,23,,,5.72,,1745,-10.0,-68.0,52.0,-10.971,-68.997,45.059,9.646765411229734e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,med spl (precuneus),,,2,-57,54,6.2,10,1123.0,,,,1746,3.887,-54.465,60.676,2.0,-57.0,54.0,2.823158037043268e-10
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,med spl (precuneus),,,-9,-51,51,5.27,10,1123.0,,,,1747,-7.916,-48.448,56.961,-9.0,-51.0,51.0,6.821187941186243e-08
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,med spl (precuneus),,,-12,-54,48,5.46,10,1123.0,,,,1748,-11.135,-51.897,53.942,-12.0,-54.0,48.0,2.3806729162700347e-08
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,spl (superior parietal gyrus),r,,9,-60,69,5.82,10,1123.0,,,,1749,11.503,-56.308,77.471,9.0,-60.0,69.0,2.9423813710443573e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,spl (superior parietal gyrus),r,,12,-63,60,5.83,10,1123.0,,,,1750,14.646,-60.232,67.727,12.0,-63.0,60.0,2.771368794094629e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,spl (superior parietal gyrus),r,,18,-72,51,6.09,10,1123.0,,,,1751,21.019,-70.481,58.477,18.0,-72.0,51.0,5.645534385958028e-10
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (postcentral gyrus to superior occipital gyrus),r,,39,-42,51,6.14,10,1123.0,,,,1752,43.341,-38.624,55.549,39.0,-42.0,51.0,4.1260740423967637e-10
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (postcentral gyrus to superior occipital gyrus),r,,27,-54,45,4.94,10,1123.0,,,,1753,30.516,-51.904,50.119,27.0,-54.0,45.0,3.906128543183254e-07
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (postcentral gyrus to superior occipital gyrus),r,,27,-57,60,4.71,10,1123.0,,,,1754,30.652,-53.791,67.003,27.0,-57.0,60.0,1.2385839573524676e-06
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (postcentral gyrus to superior occipital gyrus),r,,15,-60,54,5.67,10,1123.0,,,,1755,17.791,-57.554,60.775,15.0,-60.0,54.0,7.139875979218362e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (postcentral gyrus to superior occipital gyrus),r,,27,-66,39,4.27,10,1123.0,,,,1756,30.514,-65.107,44.535,27.0,-66.0,39.0,9.773648372917584e-06
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (postcentral gyrus to superior occipital gyrus),r,,24,-72,39,5.97,10,1123.0,,,,1757,27.332,-71.471,45.105,24.0,-72.0,39.0,1.1862679362257254e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (postcentral gyrus to superior occipital gyrus),r,,33,-81,24,5.07,10,1123.0,,,,1758,36.861,-82.215,29.168,33.0,-81.0,24.0,1.989078511037121e-07
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,spl (superior parietal gyrus),l,,-21,-63,54,5.24,10,1123.0,,,,1759,-20.667,-60.957,61.503,-21.0,-63.0,54.0,8.028829861495867e-08
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,spl (superior parietal gyrus),l,,-12,-72,45,5.98,10,1123.0,,,,1760,-11.088,-71.187,52.214,-12.0,-72.0,45.0,1.1156881014171594e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (superior parietal lobule to superior occipital gyrus),l,,-15,-60,54,5.09,10,1123.0,,,,1761,-14.267,-57.746,61.16,-15.0,-60.0,54.0,1.7903175724983385e-07
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (superior parietal lobule to superior occipital gyrus),l,,-18,-75,42,6.25,10,1123.0,,,,1762,-17.513,-74.655,49.233,-18.0,-75.0,42.0,2.0522634252189396e-10
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (superior parietal lobule to superior occipital gyrus),l,,-30,-78,30,5.9,10,1123.0,,,,1763,-30.423,-78.932,36.357,-30.0,-78.0,30.0,1.8175078630994235e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (superior parietal lobule to superior occipital gyrus),l,,-39,-75,27,4.9,10,1123.0,,,,1764,-40.077,-76.074,32.883,-39.0,-75.0,27.0,4.791832765903185e-07
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (superior parietal lobule to superior occipital gyrus),l,,-33,-81,27,5.68,10,1123.0,,,,1765,-33.642,-82.38,33.338,-33.0,-81.0,27.0,6.734737101557496e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ips (superior parietal lobule to superior occipital gyrus),l,,-33,-84,21,5.93,10,1123.0,,,,1766,-33.68,-86.066,26.956,-33.0,-84.0,21.0,1.5146734019226491e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,ipl (supramarginal gyrus),l,,-39,-48,33,4.27,10,78.0,,,,1767,-40.135,-47.01,37.137,-39.0,-48.0,33.0,9.773648372917584e-06
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,pmc/pfc (precentral sulcus/superior frontal sulcus),r,,30,6,57,4.27,10,24.0,,,,1768,33.583,12.588,58.057,30.0,6.0,57.0,9.773648372917584e-06
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,pmc/pfc (precentral sulcus/superior frontal sulcus),l,,-27,0,57,6.16,10,149.0,,,,1769,-27.303,5.878,59.319,-27.0,0.0,57.0,3.637247214840698e-10
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,pmc/pfc (precentral sulcus/superior frontal sulcus),l,,-42,-3,42,5.11,10,149.0,,,,1770,-43.444,1.325,43.159,-42.0,-3.0,42.0,1.610794061221369e-07
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,visual (middle occipital gyrus),r,,48,-69,-3,4.34,10,72.0,,,,1771,52.619,-71.743,-2.001,48.0,-69.0,-3.0,7.124135801495341e-06
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,visual (middle occipital gyrus and collateral sulcus),l,,-45,-78,-3,6.12,10,109.0,,,,1772,-46.725,-81.855,-0.012,-45.0,-78.0,-3.0,4.678767874181615e-10
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,visual (middle occipital gyrus and collateral sulcus),l,,-45,-69,-9,5.7,10,109.0,,,,1773,-46.81,-72.852,-7.457,-45.0,-69.0,-9.0,5.99037140106353e-09
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,visual (middle occipital gyrus and collateral sulcus),l,,-48,-57,-9,5.4,10,109.0,,,,1774,-50.063,-60.182,-8.482,-48.0,-57.0,-9.0,3.332044848542845e-08
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 1 - Common Brain Activations to Precues and Retrocues,retrocue and precue,fMRI; working memory; decision making; talairach; visual spatial cue;precue;retrocue;experimental task,brainstem,,,-6,-21,-9,4.21,10,19.0,,,,1775,-5.325,-21.847,-12.211,-6.0,-21.0,-9.0,1.2768534413734933e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-1 Differential Brain Activations to Precues and Retrocues,precue > retrocue,fMRI; working memory; decision making; talairach; visual spatial cue; precue;experimental task,ipto (posterior angular gyrus),r,,33,-87,15,4.24,10,62.0,,,,1776,36.81,-89.33,19.729,33.0,-87.0,15.0,1.1175989332120529e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-1 Differential Brain Activations to Precues and Retrocues,precue > retrocue,fMRI; working memory; decision making; talairach; visual spatial cue; precue;experimental task,ipto (posterior angular gyrus),r,,33,-78,15,3.9,10,62.0,,,,1777,36.775,-79.813,18.931,33.0,-78.0,15.0,4.8096344017602614e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-1 Differential Brain Activations to Precues and Retrocues,precue > retrocue,fMRI; working memory; decision making; talairach; visual spatial cue; precue;experimental task,ipto (posterior angular gyrus),r,,39,-72,18,3.87,10,62.0,,,,1778,43.187,-73.173,21.646,39.0,-72.0,18.0,5.4417676633699595e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,med spl (precuneus),,,3,-69,51,4.89,10,21.0,,,,1779,4.978,-67.405,58.403,3.0,-69.0,51.0,5.041798883575354e-07
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,ips,r,,36,-57,42,3.29,10,25.0,,,,1780,40.12,-55.276,46.945,36.0,-57.0,42.0,0.0005009369137857222
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,ips,r,,33,-57,57,4.19,10,25.0,,,,1781,37.038,-54.01,63.603,33.0,-57.0,57.0,1.3947722726881202e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,ips,l,,-36,-63,51,4.2,10,16.0,,,,1782,-36.721,-61.31,58.371,-36.0,-63.0,51.0,1.334574901590631e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,med pmc/pfc (pre-sma/superior frontal gyrus),,,-3,24,39,4.47,10,30.0,,,,1783,-1.901,29.868,36.942,-3.0,24.0,39.0,3.910979860280697e-06
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,ventral pfc/insula (inferior frontal gyrus/anterior insula),r,,36,24,-12,4.37,10,11.0,,,,1784,39.354,25.749,-20.061,36.0,24.0,-12.0,6.212326826901502e-06
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,dorsolateral pfc (middle frontal gyrus),r,,51,39,21,4.23,10,6.0,,,,1785,55.596,44.533,14.978,51.0,39.0,21.0,1.1684565594707383e-05
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,dorsolateral pfc (middle frontal gyrus),r,,48,45,21,3.68,10,6.0,,,,1786,52.366,50.858,14.485,48.0,45.0,21.0,0.00011661697681536813
+,Nobre et al,Orienting Attention to Locations in Perceptual Versus Mental Representations,Table 2-2 Differential Brain Activations to Precues and Retrocues,retrocue > precue,fMRI; working memory; decision making; talairach; visual spatial cue;retrocue;experimental task,dorsolateral pfc (posterior inferior frontal sulcus),l,,-54,21,33,3.85,10,11.0,,,,1787,-56.437,25.855,31.214,-54.0,21.0,33.0,5.9058912418922374e-05
+,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Id - identical strings,sub-id > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Id; perceptual matching task,inferiorparietallobule,left,40,-44,-41,30,,12,66.0,0.005,,,1788,-45.53,-39.897,33.257,-44.0,-41.0,30.0,0.005
+,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Id - identical strings,sub-id > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Id; perceptual matching task,superiorparietallobule,left,7,-40,-50,54,,12,,0.005,,,1789,-41.022,-47.332,60.594,-40.0,-50.0,54.0,0.005
+,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Id - identical strings,sub-id > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Id; perceptual matching task,superiorparietallobule,right,7,32,-65,51,,12,,0.001,,,1790,35.952,-62.99,57.677,32.0,-65.0,51.0,0.001
+,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Id - identical strings,sub-id > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Id; perceptual matching task,inferiorfrontalgyrus,left,44,-48,25,1,,12,15.0,0.001,,,1791,-50.305,27.382,-4.671,-48.0,25.0,1.0,0.001
+BA,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Dif - string difference,sub-dif > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Dif; perceptual matching task,superior parietal lobule/precuneus,left,7,-22,-63,53,,12,669.0,0.001,,,1792,-21.744,-61.049,60.407,-22.0,-63.0,53.0,0.001
+BA,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Dif - string difference,sub-dif > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Dif; perceptual matching task,inferior parietal lobule,left,40,-50,-35,48,,12,669.0,0.001,,,1793,-51.817,-32.049,52.745,-50.0,-35.0,48.0,0.001
+BA,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Dif - string difference,sub-dif > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Dif; perceptual matching task,supramarginal gyrus,left,40,30,-47,32,,12,76.0,0.001,,,1794,33.587,-45.597,35.057,30.0,-47.0,32.0,0.001
+BA,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Dif - string difference,sub-dif > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Dif; perceptual matching task,superior parietal lobule,right,7,30,-48,50,,12,317.0,0.001,,,1795,33.739,-45.112,55.088,30.0,-48.0,50.0,0.001
+BA,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Dif - string difference,sub-dif > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Dif; perceptual matching task,precuneus,right,7,26,-71,50,,12,317.0,0.001,,,1796,29.556,-69.458,57.178,26.0,-71.0,50.0,0.001
+BA,Reilhac et al,Role of the superior parietal lobules in letter-identity processing within strings FMRI evidence from skilled and dyslexicreaders,Table 2-1 Cerebral regions activated during the letter string comparis on task for the substitution condition relative to baseline - Sub Dif - string difference,sub-dif > baseline,fMRI; working memory; decision making; talairach; reading; visual word recognition;Sub-Dif; perceptual matching task,inferior parietal lobule,right,40,38,-38,48,,12,317.0,0.001,,,1797,42.232,-34.658,51.883,38.0,-38.0,48.0,0.001
