importance,author,title,table_name,keywords,Left/Right,Name,Broadman Area,t,X(R),Y(A),Z(S),z-score,NV,p value,cluster size,index_col,MNIX,MNIY,MNIZ,BA,TALX,TALY,TALZ,BA_name,BA_no
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,inferior frontal gyrus,44,,-44,1,16,,,0.0001,,223,-46,2,15,Left-PreMot+SuppMot (6),-44,1,16,Left-PreMot+SuppMot ,6.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,inferior frontal gyrus,45,,47,18,4,,,0.0001,,224,50,21,0,Right-Broca-Triang (45),47,18,4,Right-Broca-Triang ,45.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,inferior frontal gyrus,45,,-18,28,11,,,0.0001,,225,-19,30,11,Outside defined BAs,-18,28,11,Outside defined BAs,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,insula,nan,,-32,8,12,,,0.0001,,226,-33,10,11,Left-Insula (13),-32,8,12,Left-Insula ,13.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,thalamus/midbrain,nan,,-8,-17,8,,,0.0001,,227,-9,-16,6,Left-Thalamus,-8,-17,8,Left-Thalamus,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,dorsal striatum—caudate,nan,,11,12,11,,,0.0001,,228,12,14,10,Right-Caudate,11,12,11,Right-Caudate,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,dorsal striatum—caudate,nan,,-5,8,6,,,0.0001,,229,-5,11,3,Left-Caudate,-5,8,6,Left-Caudate,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,ventral striatum,nan,,-12,4,-3,,,0.0001,,230,-12,7,-8,Outside defined BAs,-12,4,-3,Outside defined BAs,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,precuneus,18/19,,-22,-74,27,,,0.0001,,231,-22,-78,28,Left-VisualAssoc (19),-22,-74,27,Left-VisualAssoc ,19.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,inferior occipital gyrus,18,,33,-80,0,,,0.0001,,232,32,-82,-6,Right-SecVisual (18),33,-80,0,Right-SecVisual ,18.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,R,fusiform gyrus,37,,40,-54,-15,,,0.0001,,233,41,-53,-23,Right-Fusiform (37),40,-54,-15,Right-Fusiform ,37.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Increasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect;increasing activation,L,fusiform gyrus,37,,-42,-55,-15,,,0.0001,,234,-45,-54,-23,Left-Fusiform (37),-42,-55,-15,Left-Fusiform ,37.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,R,superior frontal gyrus,9,,10,47,36,,,0.0001,,235,11,47,40,Right-dlPFC(dorsal) (9),10,47,36,Right-dlPFC(dorsal) ,9.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,superior frontal gyrus,9,,-11,46,36,,,0.0001,,236,-11,46,40,Left-FrontEyeFields (8),-11,46,36,Left-FrontEyeFields ,8.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,posterior cingulate,31,,-6,-34,39,,,0.0001,,237,-7,-37,42,Left-DorsalPCC (31),-6,-34,39,Left-DorsalPCC ,31.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,precuneus,7,,-3,-57,32,,,0.0001,,238,-4,-60,34,Left-DorsalPCC (31),-3,-57,32,Left-DorsalPCC ,31.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,R,insula,nan,,38,-14,16,,,0.0001,,239,40,-14,14,Right-Insula (13),38,-14,16,Right-Insula ,13.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,R,superior temporal gyrus,42,,38,-23,7,,,0.0001,,240,40,-23,4,Right-PrimAuditory (41),38,-23,7,Right-PrimAuditory ,41.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 1 - Main effect of time - Decreasing activation,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time effect; decreasing activation,L,superior temporal gyrus,22/21,,-55,-16,1,,,0.0001,,241,-59,-15,-3,Left-SupTempGyrus (22),-55,-16,1,Left-SupTempGyrus ,22.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,L,dorsal striatum—caudate,nan,,-12,15,7,,,0.0001,,242,-13,18,6,Left-Caudate,-12,15,7,Left-Caudate,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,R,dorsal striatum—caudate,nan,,11,16,7,,,0.0001,,243,12,19,5,Right-Caudate,11,16,7,Right-Caudate,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,R,superior frontal gyrus,9,,40,37,32,,,0.0001,,244,41,36,33,Right-dlPFC(dorsal) (9),40,37,32,Right-dlPFC(dorsal) ,9.0
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,L,ventral striatum,nan,,-14,0,-8,,,0.001,,245,-14,3,-13,Outside defined BAs,-14,0,-8,Outside defined BAs,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,L,medial temporal lobe,nan,,-21,-14,-7,,,0.001,,246,-22,-12,-13,Outside defined BAs,-21,-14,-7,Outside defined BAs,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,L,medial frontal gyrus,8/9,,-33,16,35,,,0.001,,247,-34,15,37,Outside defined BAs,-33,16,35,Outside defined BAs,
+,Delgado et al,Tracking the Hemodynamic Responses to Reward and Punishment in the Striatum,Table 2- Interaction of condition by time,fMRI; outcome phase; decision making; monetary reward; talairach; gambling; time conditioning,R,inferior frontal gyrus,45,,31,18,16,,,0.001,,248,32,19,15,Right-Broca-Triang (45),31,18,16,Right-Broca-Triang ,45.0
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,R,occipital gyrus,19,,39,-84,-12,6.44,,0.05,,249,38,-85,-20,Outside defined BAs,39,-84,-12,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,occipital gyrus,19,,-36,-90,-12,6.03,,0.05,,250,-36,-92,-20,Outside defined BAs,-36,-90,-12,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,postcentral gyrus,3,,-52,-27,60,6.02,,0.05,,251,-52,-31,66,Outside defined BAs,-52,-27,60,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,striatum,nan,,-27,0,3,4.55,,0.05,,252,-28,2,0,Left-Putamen,-27,0,3,Left-Putamen,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,R,striatum,nan,,27,0,6,3.74,,0.05,,253,28,2,3,Right-Putamen,27,0,6,Right-Putamen,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,R,amygdala,nan,,24,-6,-18,3.67,,0.05,,254,25,-3,-26,Right-Amygdala,24,-6,-18,Right-Amygdala,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,midbrain,nan,,-9,-12,-24,3.1,,0.05,,255,-9,-10,-33,Outside defined BAs,-9,-12,-24,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,R,superior temporal gyrus,38,,39,3,-39,4.41,,0.01,,256,40,10,-49,Outside defined BAs,39,3,-39,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,superior temporal gyrus,38,,-33,9,-27,3.65,,0.01,,257,-33,15,-34,Left-Temporalpole (38),-33,9,-27,Left-Temporalpole ,38.0
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,R,insula,nan,,45,-12,0,4.28,,0.01,,258,48,-10,-6,Right-SupTempGyrus (22),45,-12,0,Right-SupTempGyrus ,22.0
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,R,frontal pole,9,,15,63,30,4.27,,0.01,,259,16,64,34,Outside defined BAs,15,63,30,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - All-or-nothing response to reward,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,lateral ofc,11,,-33,42,-15,3.79,,0.01,,260,-34,47,-18,Left-AntPFC (10),-33,42,-15,Left-AntPFC ,10.0
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - Second-order relationship to reward value,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,anterior medial frontal cortex,8,,-6,42,51,5.31,,0.05,,261,-6,40,57,Outside defined BAs,-6,42,51,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - Second-order relationship to reward value,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,medial ofc,10,,-3,60,-9,4.28,,0.05,,262,-3,66,-7,Left-AntPFC (10),-3,60,-9,Left-AntPFC ,10.0
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - Second-order relationship to reward value,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,L,lateral ofc,47,,-51,27,-12,3.99,,0.05,,263,-52,32,-17,Outside defined BAs,-51,27,-12,Outside defined BAs,
+,Elliott et al,Differential Response Patterns in the Striatum and Orbitofrontal Cortex to Financial Reward in Humans - A Parametric Functional Magnetic Resonance Imaging Study,Table 1 - Maximally activated voxels in areas in which significant evoked activity was related to reward level - Second-order relationship to reward value,fMRI; reward value; outcome phase; monetary reward; talairach; performance-dependent,R,lateral ofc,47,,48,33,-12,3.41,,0.05,,264,50,37,-18,Right-ParsOrbitalis (47),48,33,-12,Right-ParsOrbitalis ,47.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 1-1 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Positive correlation with reward level(increase reward),fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;positive reward,R,midbrain,nan,,9,-12,23,4.65,,0.05,,265,9,-12,23,Outside defined BAs,9,-12,23,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 1-1 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Positive correlation with reward level(increase reward),fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;positive reward,R,ventral striatum,nan,,18,9,26,3.5,,0.001,,266,19,10,27,Outside defined BAs,18,9,26,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 1 -2 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Negative correlation with reward level(increase penalty),fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward,L,hippocampus,nan,,-24,-18,-18,5.38,,0.05,,267,-25,-16,-26,Left-Parahipp (36),-24,-18,-18,Left-Parahipp ,36.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 1 -2 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Negative correlation with reward level(increase penalty),fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward,R,hippocampus,nan,,33,-12,-15,4.11,,0.001,,268,35,-10,-22,Right-Hippocampus,33,-12,-15,Right-Hippocampus,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 1 -2 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Negative correlation with reward level(increase penalty),fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward,L,parahippocampal gyrus,35,,-15,-30,-12,4.73,,0.05,,269,-16,-29,-19,Outside defined BAs,-15,-30,-12,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 1 -2 - Maximally activated voxels in areas where significant evoked activity was related to reward level - Negative correlation with reward level(increase penalty),fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward,R,parahippocampal gyrus,35,,12,-33,-12,4.59,,0.001,,270,13,-32,-19,Outside defined BAs,12,-33,-12,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 2 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;positive reward; context-dependent reward,R,anterior medial thalamus,nan,,6,-12,0,4.95,,0.05,,271,7,-11,-5,Outside defined BAs,6,-12,0,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 2 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;positive reward; context-dependent reward,R,pallidum,nan,,15,-3,6,4.4,,0.01,,272,16,-1,3,Outside defined BAs,15,-3,6,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 2 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;positive reward; context-dependent reward,L,pallidum,nan,,-15,-3,6,4.31,,0.01,,273,-16,-1,4,Outside defined BAs,-15,-3,6,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 2 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;positive reward; context-dependent reward,L,subgenual cingulate,24,,-9,36,-3,4.56,,0.01,,274,-9,40,-4,Left-DorsalACC (32),-9,36,-3,Left-DorsalACC ,32.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 2 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;positive reward; context-dependent reward,R,subgenual cingulate,nan,,9,36,3,4.16,,0.01,,275,10,40,3,Right-DorsalACC (32),9,36,3,Right-DorsalACC ,32.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward; context-dependent reward,L,hippocampus,nan,,-30,-12,-15,3.38,,0.001,,276,-31,-10,-22,Left-Hippocampus,-30,-12,-15,Left-Hippocampus,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward; context-dependent reward,R,hippocampus,nan,,33,-21,-15,3.73,,0.001,,277,35,-19,-23,Right-Parahipp (36),33,-21,-15,Right-Parahipp ,36.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success and penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward;positive reward; context-dependent reward,L,lateral orbitofrontal cortex,47,,-33,15,-12,5.2,,0.05,,278,-34,20,-18,Left-ParsOrbitalis (47),-33,15,-12,Left-ParsOrbitalis ,47.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success and penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward;positive reward; context-dependent reward,R,lateral orbitofrontal cortex,47,,51,15,-12,4.16,,0.001,,279,54,20,-19,Right-Temporalpole (38),51,15,-12,Right-Temporalpole ,38.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success and penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward;positive reward; context-dependent reward,L,insula cortex,nan,,-36,-6,6,5.94,,0.05,,280,-38,-5,4,Left-Insula (13),-36,-6,6,Left-Insula ,13.0
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success and penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward;positive reward; context-dependent reward,R,insula cortex,nan,,42,9,-6,4.84,,0.05,,281,44,13,-13,Outside defined BAs,42,9,-6,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success and penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward;positive reward; context-dependent reward,R,head of caudate,nan,,21,24,0,4.96,,0.05,,282,22,27,-3,Outside defined BAs,21,24,0,Outside defined BAs,
+,Elliott et al,Dissociable Neural Responses in Human Reward Systems,Table 21 - Maximally activated voxels in areas where significant evoked activity to reward level was context-dependent - Reward during run of success and penalty during run of failure,fMRI;reward magnitude;reward value;outcome phase;decision making;monetary reward;talairach;gambling;negative reward;positive reward; context-dependent reward,L,head of caudate,nan,,-9,12,12,4.24,,0.001,,283,-10,14,11,Left-Caudate,-9,12,12,Left-Caudate,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,insula,nan,,-38,1,-10,3.17,,0.005,,378,-39,5,-16,Outside defined BAs,-38,1,-10,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,amygdala/hippocampus,nan,,-22,-12,-15,4.14,,0.005,,379,-23,-10,-22,Left-Hippocampus,-22,-12,-15,Left-Hippocampus,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,post-central gyrus,40,,-63,-23,16,4.8,,0.05,,380,-66,-23,15,Left-SupramargGyr (40),-63,-23,16,Left-SupramargGyr ,40.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,cerebellum,nan,,-34,-36,-22,3.5,,0.005,,381,-36,-35,-30,Outside defined BAs,-34,-36,-22,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,fusiform gyrus,nan,,-44,-47,-16,3.26,,0.005,,382,-47,-46,-24,Left-Fusiform (37),-44,-47,-16,Left-Fusiform ,37.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,L.,inferior occipital gyrus,18,,-26,-86,-14,3.78,,0.005,,383,-26,-88,-22,Outside defined BAs,-26,-86,-14,Outside defined BAs,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,medial frontal gyrus,10,,4,54,-8,3.37,,0.005,,384,5,60,-7,Right-AntPFC (10),4,54,-8,Right-AntPFC ,10.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,amygdala,nan,,22,-5,-17,3.42,,0.005,,385,23,-2,-24,Right-Amygdala,22,-5,-17,Right-Amygdala,
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,transverse temporal gyrus,42,,61,-17,12,3.0,,0.005,,386,64,-17,9,Right-PrimAuditory (41),61,-17,12,Right-PrimAuditory ,41.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,superior temporal gyrus,21,,61,-48,10,4.02,,0.005,,387,62,-49,6,Right-Fusiform (37),61,-48,10,Right-Fusiform ,37.0
+,Killgore et al,Cortical and limbic activation during viewing of high- versus low-calorie foods,Table 1 - Foci of maximally activated brain regions surviving low-calorie and high-calorie conjunction analysis,fMRI; outcome phase; viewing; food ; high vs low calorie food; talairach; passive,R.,precuneus,7,,4,-51,36,2.83,,0.005,,388,4,-54,38,Right-DorsalPCC (31),4,-51,36,Right-DorsalPCC ,31.0
